ID,Nom,SKU,Code Barre,Catégorie,Marque,Quantité en Stock,Stock Minimum,Stock Maximum,Prix de Vente (Détail),Prix de Gros,Prix d'Achat,CUMP (Coût Unitaire Moyen Pondéré),Dernier Prix d'Achat,Valeur Stock (CUMP),Valeur Stock (Prix de Vente),Valeur Stock (Prix de Gros),Statut Stock
693d33e781c706667621740d,BATTEUR MULTISMART ,MS-HB5023,20656186510743,Electromenager,,1,0,999999,4200,2800,,,,0,4200,2800,Normal
695a5d233432a6b7fb3d9503,BATTEUR MULTISMART 2IN1 ,MS-SM204,20675297454796,Electromenager,,1,0,999999,5500,3400,,,,0,5500,3400,Normal
695a597d3432a6b7fb3d6fca,BATTEUR MULTISMART 2in1,MS-SM202,20675288208864,Electromenager,,1,0,999999,6500,5060,,,,0,6500,5060,Normal
695a594a3432a6b7fb3d6e6a,BATTEUR MULTISMART 2in1 ,MS-SM201,20675287648142,Electromenager,,2,0,999999,6500,5060,,,,0,13000,10120,Normal
692ef9cf3e004f0b56bcf2ec,BATTEUR SCHALLENGE,AMB-HM9120-GS,20646862152321,Electromenager,,14,0,999999,2800,1650,,1532.14,1650,21449.96,39200,23100,Normal
692f02a73e004f0b56bcf35d,BATTEUR SCHALLENGE,AMB-HB5023,20646885424093,Electromenager,,7,0,999999,4200,3300,,2828.57,3300,19799.99,29400,23100,Normal
692f02e03e004f0b56bcf363,BATTEUR SCHALLENGE,AMB-HB5033,20646885960973,Electromenager,,4,0,999999,5400,4300,,2150,4300,8600,21600,17200,Normal
693002b33e004f0b56bcf3e2,BATTEUR SCHALLENGE,AMB-HB5405,20647540898994,Electromenager,,1,0,999999,6450,4500,,,,0,6450,4500,Normal
692ff78f3e004f0b56bcf3cc,BATTEUR SCHALLENGE ,AMB-HB5016,20647512356261,Electromenager,,5,0,999999,3200,2250,,,,0,16000,11250,Normal
692f00093e004f0b56bcf339,BATTEUR SONIFER,SF-8043,20646878746402,Electromenager,,1,0,999999,1850,1200,,,,0,1850,1200,Normal
692ef6f33e004f0b56bcf2d4,BATTEUR SONIFER ,SF-7026,20646855463928,Electromenager,,4,0,999999,3650,2400,,,,0,14600,9600,Normal
692efa093e004f0b56bcf2f2,BATTEUR SONIFER ,SF-7002,20646863363285,Electromenager,,1,0,999999,3800,2350,,,,0,3800,2350,Normal
692efa443e004f0b56bcf2f8,BATTEUR SONIFER ,SF-7015,20646863934401,Electromenager,,2,0,999999,4850,2400,,,,0,9700,4800,Normal
69340bd33e004f0b56bcf976,BLENDER ARCODYM,GM-6010C,20650185593755,Electromenager,,2,0,999999,7500,6300,,,,0,15000,12600,Normal
695a530c3432a6b7fb3d320d,BLENDER CONTIGLOBAL,CG-BG15AM4,20675271356357,Electromenager,,1,0,999999,4500,3000,,,,0,4500,3000,Normal
69340ac93e004f0b56bcf964,BLENDER CRRAFT,BT1410,20650183022718,Electromenager,,1,0,999999,7850,4800,,,,0,7850,4800,Normal
69340af53e004f0b56bcf96a,BLENDER MIDEA,MJ-JS20B21,20650183427993,Electromenager,,2,0,999999,18500,16000,,8000,16000,16000,37000,32000,Normal
695bb39e3432a6b7fb3e0a7e,BLENDER MOULINEX,1N-400-BT,20676174303291,Electromenager,,1,0,999999,17500,11000,,,,0,17500,11000,Normal
69340ba53e004f0b56bcf970,BLENDER MULTISMART,MS-JC102,20650185227999,Electromenager,,2,0,999999,7500,5200,,2600,5200,5200,15000,10400,Normal
69340da33e004f0b56bcf988,BLENDER MULTISMART,MS-BD5201,20650190231518,Electromenager,,2,0,999999,6500,4300,,2150,4300,4300,13000,8600,Normal
69340dd43e004f0b56bcf98e,BLENDER MULTISMART,MS-BD5015,20650190761273,Electromenager,,2,0,999999,5900,4100,,4100,4100,8200,11800,8200,Normal
693d36a881c7066676217544,BLENDER MULTISMART,MS-FP3103,20656193574428,Electromenager,,2,0,999999,16800,14800,,7400,14800,14800,33600,29600,Normal
693447753e004f0b56bcfb4c,BLENDER MULTISMART MULTI-FONCTION,MS-BD3011,20650338369312,Electromenager,,1,0,999999,13500,10500,,,,0,13500,10500,Normal
693409f63e004f0b56bcf946,BLENDER SCHALLENGE,AMB-BL2068,20650180909593,Electromenager,,4,0,999999,6500,4350,,3262.5,4350,13050,26000,17400,Normal
69340c3e3e004f0b56bcf982,BLENDER SCHALLENGE,AMB-BL2033,20650186696952,Electromenager,,5,0,999999,6500,3600,,3200,3600,16000,32500,18000,Normal
69340a753e004f0b56bcf958,BLENDER SONIFER ,SF-8016,20650182152072,Electromenager,,1,0,999999,7450,4400,,,,0,7450,4400,Normal
69340aa13e004f0b56bcf95e,BLENDER SONIFER ,SF-8014,20650182557110,Electromenager,,1,0,999999,7950,4300,,,,0,7950,4300,Normal
69340c0c3e004f0b56bcf97c,BLENDER TEFAL,BL3001,20650186107595,Electromenager,,1,0,999999,9950,7200,,,,0,9950,7200,Normal
6933ec453e004f0b56bcf7fb,BOULOIRE MULTISMART,MS-KT2011,20650104880050,Electromenager,,6,0,999999,3850,2650,,,,0,23100,15900,Normal
6933ec733e004f0b56bcf801,BOULOIRE WESTCROWN,BOULOIRE-MULTI-COLEUR,20650105374372,Electromenager,,3,0,999999,2500,1500,,,,0,7500,4500,Normal
692db5be3e004f0b56bced3b,CAFETIER ARCODYM,DYM-CM6823,20646033121024,Electromenager,,2,0,999999,17500,14000,,,,0,35000,28000,Normal
69538cc23432a6b7fb3b96f9,CAFETIER BERGMANN,B200,B200,Electromenager,,1,0,999999,18500,15500,,,,0,18500,15500,Normal
69538b973432a6b7fb3b95a5,CAFETIER CONTIGLOBAL,CG-CMAW18,20670828896642,Electromenager,,4,0,999999,19500,16000,,8000,16000,32000,78000,64000,Normal
692db5593e004f0b56bced2f,CAFETIER ELECTROGAS ,MS601,20646032131268,Electromenager,,1,0,999999,21900,17000,,,,0,21900,17000,Normal
695a58033432a6b7fb3d5ce6,CAFETIER ESPRESSO KRUPS,EA82F01O,20675284390779,Electromenager,,1,0,999999,78000,68000,,,,0,78000,68000,Normal
692dbe0c3e004f0b56bcedd1,CAFETIER GEANT,GN-CMAC514K-R,20646054415908,Electromenager,,1,0,999999,16500,14500,,14500,14500,14500,16500,14500,Normal
692dbe6f3e004f0b56bceddd,CAFETIER GEANT,GN-CMST503DL-G,20646055448555,Electromenager,,1,0,999999,16000,15000,,,,0,16000,15000,Normal
69538b2c3432a6b7fb3b94fb,CAFETIER GEANT ,GN-CMDN8502,20670827833606,Electromenager,,4,0,999999,15500,12000,,6000,12000,24000,62000,48000,Normal
695a50723432a6b7fb3d16ab,CAFETIER GEANT ,GN-CMAC513K-I,20675264996187,Electromenager,,1,0,999999,19800,15800,,,,0,19800,15800,Normal
69538bdb3432a6b7fb3b964f,CAFETIER GEANT NOIR,GN-CMST504-N,20670829599201,Electromenager,,2,0,999999,17800,14800,,7400,14800,14800,35600,29600,Normal
692dbc803e004f0b56bcedc3,CAFETIER MESKO,MS4403,20646050481264,Electromenager,,2,0,999999,18500,17000,,,,0,37000,34000,Normal
692db5883e004f0b56bced35,CAFETIER MULTISMART,MS-CF3018,20646032630468,Electromenager,,1,0,999999,22800,16400,,,,0,22800,16400,Normal
692db6153e004f0b56bced47,CAFETIER MULTISMART,MS-CF2201,20646034046302,Electromenager,,3,0,999999,17800,15700,,,,0,53400,47100,Normal
692dbb543e004f0b56bcedaf,CAFETIER MULTISMART,MS-DF2112,20646047481913,Electromenager,,3,0,999999,7000,4600,,3066.67,4600,9200.01,21000,13800,Normal
692dbb863e004f0b56bcedb5,CAFETIER MULTISMART,MS-CF1211,20646047959260,Electromenager,,1,0,999999,22500,19400,,,,0,22500,19400,Normal
692dbe3d3e004f0b56bcedd7,CAFETIER MULTISMART,MS-CF2026,20646054872397,Electromenager,,1,0,999999,16500,12700,,,,0,16500,12700,Normal
692dbea53e004f0b56bcede3,CAFETIER MULTISMART,MS-CF2036,20646055976797,Electromenager,,2,0,999999,18500,13000,,6500,13000,13000,37000,26000,Normal
692dbf073e004f0b56bcedef,CAFETIER MULTISMART,MS-CF1313,20646056971595,Electromenager,,1,0,999999,22500,16400,,16400,16400,16400,22500,16400,Normal
69538d083432a6b7fb3b97a3,CAFETIER MULTISMART,MS-CF1021,20670832624169,Electromenager,,2,0,999999,17500,14100,,7050,14100,14100,35000,28200,Normal
692db5e53e004f0b56bced41,CAFETIER MULTISMART ,MS-CF1101,20646033576468,Electromenager,,4,0,999999,19500,14600,,7300,14600,29200,78000,58400,Normal
692db6a03e004f0b56bced53,CAFETIER MULTISMART ,MS-CF4032,20646035422228,Electromenager,,1,0,999999,64000,49600,,,,0,64000,49600,Normal
692db87d3e004f0b56bced68,CAFETIER MULTISMART ,MS-CF4012,20646038815188,Electromenager,,1,0,999999,36800,32000,,,,0,36800,32000,Normal
692dbed53e004f0b56bcede9,CAFETIER MULTISMART ,MS-CF102,20646056428635,Electromenager,,1,0,999999,21000,15200,,,,0,21000,15200,Normal
692dbf343e004f0b56bcedf5,CAFETIER MULTISMART ,MS-CF1121,20646057398555,Electromenager,,1,0,999999,21000,17400,,,,0,21000,17400,Normal
692db66d3e004f0b56bced4d,CAFETIER SCHALLENGE ,AMB-021CM,20646034929580,Electromenager,,2,0,999999,18500,15700,,,,0,37000,31400,Normal
692db7ba3e004f0b56bced62,CAFETIER SONIFER,SF-3535,20646038244942,Electromenager,,1,0,999999,15400,12500,,,,0,15400,12500,Normal
692dbd103e004f0b56bcedcb,CAFETIER SONIFER ,SF-3533,20646051922788,Electromenager,,4,0,999999,3500,2100,,525,2100,2100,14000,8400,Normal
692dbf6a3e004f0b56bcedfb,CAFETIER SONIFER ,SF-3532,20646057933114,Electromenager,,1,0,999999,3950,2550,,,,0,3950,2550,Normal
69538adb3432a6b7fb3b9451,CAFITIER GEANT ROUGE,GN-CMST503DL-R,20670827000636,Electromenager,,1,0,999999,18500,15000,,7500,15000,7500,18500,15000,Normal
695515113432a6b7fb3c1e4c,CENTRE FIGEUSE SONIFER,SF-5509,20671836195119,Electromenager,,1,0,999999,17500,11000,,,,0,17500,11000,Normal
695a4e5d3432a6b7fb3d084a,CHAUFF BAIN CONDOR 10L,CCG-P410,20675259650017,Electromenager,,1,0,999999,24900,20000,,,,0,24900,20000,Normal
695a4dfd3432a6b7fb3d0498,CHAUFF BAIN CONDOR 6L,CCG-P306,20675258676486,Electromenager,,1,0,999999,19500,14000,,,,0,19500,14000,Normal
692c6d323e004f0b56bcea35,CHAUFFAGE BRANDT NOIR 10KW,10000-B11BS,20645191749353,Electromenager,,1,0,999999,36000,35500,,,,0,36000,35500,Normal
692c6d6c3e004f0b56bcea3b,CHAUFFAGE BRANDT NOIR 12KW,12000-B11BS,20645192667919,Electromenager,,2,0,999999,39000,30000,,10000,30000,20000,78000,60000,Normal
692c719c3e004f0b56bcea7b,CHAUFFAGE GEANT NOIR 14KW,GN-200B-NG,20645203354399,Electromenager,,1,0,999999,44000,37500,,,,0,44000,37500,Normal
692c6ce43e004f0b56bcea2f,CHAUFFAGE RAYLAN NOIR 14KW,RCG-F14KGR,20645191146556,Electromenager,,1,0,999999,47000,39000,,,,0,47000,39000,Normal
